epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.79384,6.87728,10.3042,4.65225,0,0,0,0,3.34108,15.8026,1.93583,3.33e-06,3.33e-06,3.33e-06
2,7.37111,3.43869,12.7635,2.26019,0,0,0,0,3.33076,15.7929,1.93021,9.7922e-06,9.7922e-06,9.7922e-06
3,10.978,6.90699,14.8453,4.65295,0,0,0,0,3.31964,15.7855,1.92416,1.59907e-05,1.59907e-05,1.59907e-05
4,14.3289,6.79768,13.2643,4.57571,0,0,0,0,3.30757,15.7757,1.91762,2.19254e-05,2.19254e-05,2.19254e-05
