epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.88418,6.87728,10.3042,4.65225,0,0,0,0,3.34108,15.8026,1.93583,3.33e-06,3.33e-06,3.33e-06
2,7.06623,3.43869,12.7635,2.26019,0,0,0,0,3.33076,15.7929,1.93021,9.7922e-06,9.7922e-06,9.7922e-06
3,10.2384,6.90699,14.8453,4.65295,0,0,0,0,3.31964,15.7855,1.92416,1.59907e-05,1.59907e-05,1.59907e-05
4,13.6707,6.79768,13.2643,4.57571,0,0,0,0,3.30757,15.7757,1.91762,2.19254e-05,2.19254e-05,2.19254e-05
5,17.3002,6.76583,8.88672,4.60066,0,0,0,0,3.29533,15.766,1.91102,2.75964e-05,2.75964e-05,2.75964e-05
6,20.8124,6.75597,8.40045,4.42864,0,0,0,0,3.28101,15.7568,1.90334,3.30036e-05,3.30036e-05,3.30036e-05
7,24.2642,4.63138,13.3363,2.87953,0,0,0,0,3.26502,15.7398,1.89479,3.81471e-05,3.81471e-05,3.81471e-05
8,27.5709,4.38378,13.9093,2.85616,0,0,0,0,3.24662,15.7227,1.88499,4.30269e-05,4.30269e-05,4.30269e-05
9,30.9849,6.49469,14.9456,3.99683,0,0,0,0,3.23683,15.7185,1.87979,4.7643e-05,4.7643e-05,4.7643e-05
10,34.0604,6.61953,6.94353,4.1675,0,0,0,0,3.21665,15.704,1.86907,5.19953e-05,5.19953e-05,5.19953e-05
11,37.3291,4.3329,14.7759,2.65888,0,0,0,0,3.19464,15.6872,1.8574,5.60839e-05,5.60839e-05,5.60839e-05
12,40.5251,6.77182,9.24215,4.04945,0,0,0,0,3.17125,15.6782,1.84502,5.99087e-05,5.99087e-05,5.99087e-05
13,43.9525,6.68494,10.2183,4.08171,0,0,0,0,3.14548,15.6618,1.83138,6.34698e-05,6.34698e-05,6.34698e-05
14,47.5223,3.39067,11.3536,2.07022,0,0,0,0,3.11891,15.6353,1.81734,6.67672e-05,6.67672e-05,6.67672e-05
15,51.0852,6.44981,8.60698,4.01551,0,0,0,0,3.08833,15.6177,1.80118,6.98008e-05,6.98008e-05,6.98008e-05
16,54.553,6.58484,9.84159,3.71142,0,0,0,0,3.05619,15.5979,1.78422,7.25707e-05,7.25707e-05,7.25707e-05
17,57.9118,6.47458,9.15945,3.9555,0,0,0,0,3.02011,15.5785,1.76518,7.50768e-05,7.50768e-05,7.50768e-05
18,61.3859,4.43652,12.4478,2.62311,0,0,0,0,2.98272,15.5542,1.74546,7.73193e-05,7.73193e-05,7.73193e-05
19,64.7211,6.37548,6.36989,3.75044,0,0,0,0,2.94224,15.515,1.7241,7.9298e-05,7.9298e-05,7.9298e-05
20,68.0395,6.48377,9.68957,3.6509,0,0,0,0,2.89947,15.4723,1.70151,8.10129e-05,8.10129e-05,8.10129e-05
21,71.4814,6.45669,8.6479,3.78361,0,0,0,0,2.85335,15.4412,1.67714,8.24641e-05,8.24641e-05,8.24641e-05
22,74.8368,6.45084,6.97928,3.61095,0,0,0,0,2.80439,15.402,1.65124,8.36516e-05,8.36516e-05,8.36516e-05
23,78.3077,6.18271,7.89015,3.54594,0,0,0,0,2.75381,15.3563,1.62446,8.45753e-05,8.45753e-05,8.45753e-05
24,81.7604,6.43415,9.70151,3.50077,0,0,0,0,2.70115,15.306,1.59654,8.52353e-05,8.52353e-05,8.52353e-05
25,85.0942,4.79993,12.3575,2.50642,0,0,0,0,2.64639,15.2534,1.56748,8.56316e-05,8.56316e-05,8.56316e-05
26,88.4559,6.02721,6.41572,3.37976,0,0,0,0,2.59307,15.2083,1.53911,8.57642e-05,8.57642e-05,8.57642e-05
27,91.7017,6.02994,5.924,3.34612,0,0,0,0,2.51679,15.1179,1.49844,8.56329e-05,8.56329e-05,8.56329e-05
28,95.0216,5.68091,6.03375,3.4038,0,0,0,0,2.51679,15.1179,1.49844,8.5238e-05,8.5238e-05,8.5238e-05
29,98.3455,6.09103,6.82448,3.25634,0,0,0,0,2.44674,15.0588,1.46099,8.45793e-05,8.45793e-05,8.45793e-05
30,101.606,6.00299,7.04985,3.1696,0,0,0,0,2.37763,14.9854,1.42397,8.36569e-05,8.36569e-05,8.36569e-05
31,105.032,5.97546,6.02971,3.26087,0,0,0,0,2.37763,14.9854,1.42397,8.24708e-05,8.24708e-05,8.24708e-05
32,108.284,5.52343,6.24099,3.14641,0,0,0,0,2.30947,14.9123,1.38728,8.10209e-05,8.10209e-05,8.10209e-05
33,111.758,5.41585,5.79078,3.28534,0,0,0,0,2.24865,14.834,1.35441,7.93073e-05,7.93073e-05,7.93073e-05
34,115.072,5.30751,5.95458,3.18988,0,0,0,0,2.24865,14.834,1.35441,7.73299e-05,7.73299e-05,7.73299e-05
35,118.439,5.41389,6.62657,3.2273,0,0,0,0,2.19098,14.7469,1.3231,7.50888e-05,7.50888e-05,7.50888e-05
36,121.822,5.63357,6.351,3.10497,0,0,0,0,2.13246,14.6513,1.2913,7.2584e-05,7.2584e-05,7.2584e-05
37,125.236,5.03825,6.11542,3.09393,0,0,0,0,2.13246,14.6513,1.2913,6.98154e-05,6.98154e-05,6.98154e-05
38,128.498,5.27566,5.95085,3.12074,0,0,0,0,2.08061,14.5712,1.26296,6.67832e-05,6.67832e-05,6.67832e-05
39,131.847,5.5483,6.42405,3.2206,0,0,0,0,2.02838,14.4877,1.23428,6.34871e-05,6.34871e-05,6.34871e-05
40,135.317,5.49804,6.4993,3.17347,0,0,0,0,2.02838,14.4877,1.23428,5.99273e-05,5.99273e-05,5.99273e-05
41,138.474,5.08353,5.27159,3.22322,0,0,0,0,1.9867,14.4248,1.21127,5.61038e-05,5.61038e-05,5.61038e-05
42,141.58,5.35685,5.70409,3.17412,0,0,0,0,1.95035,14.3308,1.19098,5.20166e-05,5.20166e-05,5.20166e-05
43,144.478,4.94649,5.49819,3.07955,0,0,0,0,1.95035,14.3308,1.19098,4.76656e-05,4.76656e-05,4.76656e-05
44,147.364,5.24615,5.71844,3.15188,0,0,0,0,1.9177,14.2617,1.17273,4.30509e-05,4.30509e-05,4.30509e-05
45,150.217,4.67543,5.27298,3.22767,0,0,0,0,1.9177,14.2617,1.17273,3.81725e-05,3.81725e-05,3.81725e-05
46,153.003,4.53669,5.28382,3.24394,0,0,0,0,1.89453,14.2348,1.15964,3.30303e-05,3.30303e-05,3.30303e-05
47,155.746,4.89302,5.463,3.08901,0,0,0,0,1.89453,14.2348,1.15964,2.76243e-05,2.76243e-05,2.76243e-05
48,158.603,5.20176,7.17463,3.36624,0,0,0,0,1.877,14.1952,1.14956,2.19547e-05,2.19547e-05,2.19547e-05
49,161.45,4.83757,5.32217,3.13864,0,0,0,0,1.877,14.1952,1.14956,1.60213e-05,1.60213e-05,1.60213e-05
50,164.335,4.63907,5.18778,3.18264,0,0,0,0,1.85877,14.1503,1.13911,9.82417e-06,9.82417e-06,9.82417e-06
